PSCL	EXPR	MODE	PACKETS	OUT_TIME	W	LOCK_MODE	S	N
32	PACKET_2	serial	131072	2243.019287	8000	4	4	1
32	PACKET_2	parallel	65536	1266.584717	8000	4	4	2
32	PACKET_2	serial	131072	2257.732910	8000	4	4	2
32	PACKET_2	parallel	43690	893.463989	8000	4	4	3
32	PACKET_2	serial	131072	2263.515625	8000	4	4	3
32	PACKET_2	parallel	18724	465.462341	8000	4	4	7
32	PACKET_2	serial	131072	2254.387451	8000	4	4	7
32	PACKET_2	parallel	8738	251.851318	8000	4	4	15
32	PACKET_2	serial	131072	2247.168457	8000	4	4	15
32	PACKET_2	parallel	131072	2317.757080	8000	4	8	1
32	PACKET_2	serial	131072	2244.877686	8000	4	8	1
32	PACKET_2	parallel	65536	1203.368286	8000	4	8	2
32	PACKET_2	serial	131072	2236.284668	8000	4	8	2
32	PACKET_2	parallel	43690	819.688965	8000	4	8	3
32	PACKET_2	serial	131072	2236.760010	8000	4	8	3
32	PACKET_2	parallel	18724	373.547668	8000	4	8	7
32	PACKET_2	serial	131072	2236.412354	8000	4	8	7
32	PACKET_2	parallel	8738	205.728668	8000	4	8	15
32	PACKET_2	serial	131072	2230.472900	8000	4	8	15
32	PACKET_2	parallel	131072	365.430664	1000	8	1	1
32	PACKET_2	serial	131072	289.079987	1000	8	1	1
32	PACKET_2	parallel	65536	188.722000	1000	8	1	2
32	PACKET_2	serial	131072	287.964996	1000	8	1	2
32	PACKET_2	parallel	43690	138.269669	1000	8	1	3
32	PACKET_2	serial	131072	287.258667	1000	8	1	3
32	PACKET_2	parallel	18724	101.244667	1000	8	1	7
32	PACKET_2	serial	131072	288.519684	1000	8	1	7
32	PACKET_2	parallel	8738	166.489990	1000	8	1	15
32	PACKET_2	serial	131072	288.684998	1000	8	1	15
32	PACKET_2	parallel	131072	367.772644	1000	8	4	1
32	PACKET_2	serial	131072	288.454315	1000	8	4	1
32	PACKET_2	parallel	65536	238.011002	1000	8	4	2
32	PACKET_2	serial	131072	290.415344	1000	8	4	2
32	PACKET_2	parallel	43690	186.539001	1000	8	4	3
32	PACKET_2	serial	131072	291.130005	1000	8	4	3
32	PACKET_2	parallel	18724	148.302994	1000	8	4	7
32	PACKET_2	serial	131072	289.321655	1000	8	4	7
32	PACKET_2	parallel	8738	194.646667	1000	8	4	15
32	PACKET_2	serial	131072	290.356659	1000	8	4	15
32	PACKET_2	parallel	131072	337.725677	1000	8	8	1
32	PACKET_2	serial	131072	289.293976	1000	8	8	1
32	PACKET_2	parallel	65536	193.990341	1000	8	8	2
32	PACKET_2	serial	131072	287.722321	1000	8	8	2
32	PACKET_2	parallel	43690	129.346329	1000	8	8	3
32	PACKET_2	serial	131072	288.967010	1000	8	8	3
32	PACKET_2	parallel	18724	96.964661	1000	8	8	7
32	PACKET_2	serial	131072	292.157349	1000	8	8	7
32	PACKET_2	parallel	8738	196.833679	1000	8	8	15
32	PACKET_2	serial	131072	289.768646	1000	8	8	15
32	PACKET_2	parallel	131072	660.825317	2000	8	1	1
32	PACKET_2	serial	131072	565.813965	2000	8	1	1
32	PACKET_2	parallel	65536	345.235321	2000	8	1	2
32	PACKET_2	serial	131072	567.202026	2000	8	1	2
32	PACKET_2	parallel	43690	241.665009	2000	8	1	3
32	PACKET_2	serial	131072	578.187012	2000	8	1	3
32	PACKET_2	parallel	18724	118.900330	2000	8	1	7
32	PACKET_2	serial	131072	573.046997	2000	8	1	7
32	PACKET_2	parallel	8738	154.563339	2000	8	1	15
32	PACKET_2	serial	131072	571.234314	2000	8	1	15
32	PACKET_2	parallel	131072	649.805298	2000	8	4	1
32	PACKET_2	serial	131072	572.556030	2000	8	4	1
32	PACKET_2	parallel	65536	368.838318	2000	8	4	2
32	PACKET_2	serial	131072	568.576355	2000	8	4	2
32	PACKET_2	parallel	43690	275.263672	2000	8	4	3
32	PACKET_2	serial	131072	567.824646	2000	8	4	3
32	PACKET_2	parallel	18724	167.341675	2000	8	4	7
32	PACKET_2	serial	131072	571.581665	2000	8	4	7
32	PACKET_2	parallel	8738	204.677994	2000	8	4	15
32	PACKET_2	serial	131072	566.796326	2000	8	4	15
32	PACKET_2	parallel	131072	628.501343	2000	8	8	1
32	PACKET_2	serial	131072	566.289978	2000	8	8	1
32	PACKET_2	parallel	65536	336.048340	2000	8	8	2
32	PACKET_2	serial	131072	567.006714	2000	8	8	2
32	PACKET_2	parallel	43690	233.098663	2000	8	8	3
32	PACKET_2	serial	131072	567.787720	2000	8	8	3
32	PACKET_2	parallel	18724	138.986664	2000	8	8	7
32	PACKET_2	serial	131072	568.596985	2000	8	8	7
32	PACKET_2	parallel	8738	136.900330	2000	8	8	15
32	PACKET_2	serial	131072	563.805359	2000	8	8	15
32	PACKET_2	parallel	131072	1206.415649	4000	8	1	1
